,model,method,precision,model_artifact,train_loss,train_acc,test_loss,test_acc
0,churn_simple.pt,no rounding,32,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.3459239900112152,0.8558333333333333,0.35434967279434204,0.8565
1,churn_simple.pt,rounding,16,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.3459239900112152,0.8558333333333333,0.3543495833873749,0.8565
2,churn_simple.pt,rounding,12,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34592390060424805,0.8558333333333333,0.3543494939804077,0.8565
3,churn_simple.pt,rounding,8,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34592390060424805,0.8558333333333333,0.3543497323989868,0.8565
4,churn_simple.pt,rounding,4,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.3459242582321167,0.8556666666666667,0.3543506860733032,0.8565
5,churn_simple.pt,rounding,2,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34590861201286316,0.8565,0.3543258607387543,0.8575
6,churn_simple.pt,rounding,1,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.347768098115921,0.8533333333333334,0.35611793398857117,0.8565
7,churn_simple.pt,rounding,0,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",1.2346112728118896,0.423,1.168665885925293,0.461
8,churn_simple.pt,mid-rise,16,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.345923513174057,0.8558333333333333,0.35434892773628235,0.8565
9,churn_simple.pt,mid-rise,12,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34592512249946594,0.8558333333333333,0.3543466329574585,0.8565
10,churn_simple.pt,mid-rise,8,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34585148096084595,0.8556666666666667,0.35428693890571594,0.857
11,churn_simple.pt,mid-rise,4,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.35140469670295715,0.8538333333333333,0.3567468523979187,0.857
12,churn_simple.pt,mid-rise,2,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.43920063972473145,0.811,0.4305399954319,0.8165
13,churn_simple.pt,mid-rise,1,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.5710899233818054,0.7873333333333333,0.6018823981285095,0.78
14,churn_simple.pt,mid-rise,0,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",1.7500741481781006,0.7871666666666667,1.9582939147949219,0.776
15,churn_simple.pt,stochastic,16,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34592410922050476,0.8558333333333333,0.35434964299201965,0.8565
16,churn_simple.pt,stochastic,12,"DenseNeuralNet(
  (net): Sequential(
    (0): Linear(in_features=13, out_features=10, bias=True)
    (1): ReLU()
    (2): Linear(in_features=10, out_features=2, bias=True)
  )
)",0.34592410922050476,0.8558333333333333,0.3543495535850525,0.8565
